X,Y,OBJECTID,name_e,nom_f,Label_e,Etiquette_f,min_scale_echelle,max_scale_echelle,url_e,url_f,Facility_Type_Installation,Public_Access,Accessible
-115.762831563525125,51.409384271799098,164186,Flint's Park,,Flint's Park,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.830845716389177,51.389553108479362,164187,Block Lakes Junction,,Block Lakes Junction,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.755464997843234,51.358697193245291,164188,Sawback Lake,,Sawback Lake,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.715634863925786,51.298134518736063,164189,Mystic Junction,,Mystic Junction,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.735244670791644,51.285046575325126,164190,Mystic Valley,,Mystic Valley,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.82391534897576,51.294865868875085,164191,Larry's Camp,,Larry's Camp,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.89887771715027,51.344342437528681,164192,Johnston Creek,,Johnston Creek,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.90493150006705,51.341557612221607,164193,Luellen Lake,,Luellen Lake,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.942605570876808,51.387701403507712,164194,Badger Pass Junction,,Badger Pass Junction,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.801574717181637,51.400886575407412,164195,Upper Flint's Park,,Upper Flint's Park,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.824114687114772,51.278246564984968,164196,Ink Pots,,Ink Pots,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.856923908881242,51.256862516242109,164197,Moose Meadows,,Moose Meadows,,,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,
-115.719301352754059,51.179103045262828,164198,Muleshoe,,Muleshoe,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.84156116541574,51.24299345473132,164199,Johnston Canyon,,Johnston Canyon,,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,
-115.76435558167897,51.407345570975892,164200,Flint's Park,,Flint's Park,,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,
-115.677854642222627,51.233426577988922,164201,Cockscomb,,Cockscomb,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.68374540889269,51.410014799040667,164202,Cuthead,,Cuthead,,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,
-115.852418516551126,51.318870693378955,164203,Johnston Creek,,Johnston Creek,,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,
-115.729957405086168,51.538629100171391,164204,Windy,,Windy,,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,
-115.714961902564497,51.293981576912877,164205,Mystic,,Mystic,,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,
-115.632974678553666,51.38258659349669,164206,Cascade Road / Elk Trap,,Cascade Road / Elk Trap,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.775284712950366,51.404096578141662,164207,Flint's Park,,Flint's Park,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.755624031462858,51.359710249129819,164208,Sawback Slidepath,,Sawback Slidepath,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.735821139532149,51.285475483273181,164209,Mystic Lake,,Mystic Lake,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.742240375674726,51.536835215873744,164210,Upper Panther,,Upper Panther,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.941213373737597,51.387099264523236,164211,Upper Johnston Creek,,Upper Johnston Creek,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.910951044017736,51.268266078781224,164212,Castle Mountain,,Castle Mountain,,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,
-115.915890178169406,51.268668565088305,164213,Rockbound Lake,,Rockbound Lake,,,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,
-115.768011769669414,51.216434948339895,164214,Sawback,,Sawback,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.944394249563729,51.282082097356863,164215,Storm Mountain,,Storm Mountain,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.839695494381658,51.245423295386225,164216,Johnston Canyon,,Johnston Canyon,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.570368117120182,51.177977400465522,164217,Banff,,Banff,,,,,,Visitor Centre / Interpretation Facility//Centre d'acceuil / Installation d'interprétation,Yes//Oui,
-115.515763869523198,50.892229001135064,164218,Marvel Lake,,Marvel Lake,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.520624881100403,50.901265998411603,164219,McBride's Camp,,McBride's Camp,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.553939970935147,50.917992851140397,164220,Allenby Junction,,Allenby Junction,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.654874596314954,51.086836572735294,164221,Brewster Creek,,Brewster Creek,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.746794599763092,51.037096559209502,164222,Howard Douglas Lake,,Howard Douglas Lake,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.824229060243184,51.093650493903233,164223,Healy Creek,,Healy Creek,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.910042117341703,51.147026140036914,164224,Pharaoh Creek,,Pharaoh Creek,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.944406865960929,51.168554844312517,164225,Shadow Lake,,Shadow Lake,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.878527149358632,51.190845919729398,164226,Lost Horse Creek,,Lost Horse Creek,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.528567233175295,51.124467115863666,164227,Mount Rundle,,Mount Rundle,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.408367486356255,51.279423621042547,164228,Aylmer Canyon,,Aylmer Canyon,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.387237304285009,51.276823254341991,164229,Inglismaldie,,Inglismaldie,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.301420997191059,51.245429101367705,164230,Mount Costigan,,Mount Costigan,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.280453891544497,51.252856863446787,164231,The Narrows,,The Narrows,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.267112756759431,51.250933426250896,164232,Ghost Lakes,,Ghost Lakes,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.533816364192731,51.287959431473226,164233,Cascade Bridge,,Cascade Bridge,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.598503338317826,51.34841752703587,164234,Stony Creek,,Stony Creek,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.851320383443849,51.241466160049583,164235,Bow River Canoe,,Bow River Canoe,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.496246410522005,51.230923318112048,164236,Two Jack,,Two Jack,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.533935299827334,51.211815088302792,164237,Cascade Ponds,,Cascade Ponds,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.582577161090029,51.184206778245986,164238,Forty Mile,,Forty Mile,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.557037551154252,51.148222334029988,164239,Sulphur Gondola,,Sulphur Gondola,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.574879113275387,51.144368342736627,164240,Sulphur Gondola,,Sulphur Gondola,,,,,,Restaurant Area//Restaurants,Yes//Oui,
-115.505814021116194,51.227643648558008,164241,Two Jack Main,,Two Jack Main,,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,
-115.500313560431422,51.222905518286233,164242,Two Jack Lakeside,,Two Jack Lakeside,,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,
-115.598628259893658,51.203719008105736,164243,Mount Norquay,,Mount Norquay,,,,,,Ski Area//Aire de ski,Yes//Oui,
-115.489865521121757,51.199174428901081,164244,Johnson Lake,,Johnson Lake,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.61697406577342,51.155344384045385,164245,Sundance Canyon,,Sundance Canyon,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
